=======Command line arguments=======
N_atoms: 125
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 2.419e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
      0   3.883e-01  -8.896e-03  3.79415e-01  150.00  1.578e-05
    100   2.995e-01  -8.896e-03  2.90615e-01  115.70  1.159e-05
    200   3.505e-01  -8.896e-03  3.41642e-01  135.41  1.400e-05
    300   3.841e-01  -8.896e-03  3.75199e-01  148.37  1.558e-05
    400   3.869e-01  -8.896e-03  3.78012e-01  149.46  1.571e-05
    500   3.954e-01  -8.896e-03  3.86498e-01  152.74  1.611e-05
    600   3.729e-01  -8.896e-03  3.64002e-01  144.05  1.505e-05
    700   3.955e-01  -8.896e-03  3.86646e-01  152.79  1.612e-05
    800   3.965e-01  -8.896e-03  3.87626e-01  153.17  1.616e-05
    900   3.659e-01  -8.896e-03  3.56961e-01  141.33  1.472e-05
   1000   3.941e-01  -8.896e-03  3.85200e-01  152.23  1.605e-05
   1100   3.594e-01  -8.896e-03  3.50519e-01  138.84  1.442e-05
   1200   3.772e-01  -8.896e-03  3.68261e-01  145.69  1.525e-05
   1300   3.859e-01  -8.896e-03  3.76969e-01  149.06  1.566e-05
   1400   3.901e-01  -8.896e-03  3.81199e-01  150.69  1.586e-05
   1500   3.571e-01  -8.896e-03  3.48156e-01  137.93  1.430e-05
   1600   3.904e-01  -8.896e-03  3.81473e-01  150.80  1.587e-05
   1700   3.865e-01  -8.896e-03  3.77617e-01  149.31  1.569e-05
   1800   3.640e-01  -8.896e-03  3.55133e-01  140.62  1.463e-05
   1900   3.694e-01  -8.896e-03  3.60515e-01  142.70  1.489e-05
   2000   3.732e-01  -8.896e-03  3.64311e-01  144.17  1.507e-05
   2100   3.929e-01  -8.896e-03  3.83966e-01  151.76  1.599e-05
   2200   3.729e-01  -8.896e-03  3.63999e-01  144.05  1.505e-05
   2300   3.914e-01  -8.896e-03  3.82547e-01  151.21  1.592e-05
   2400   3.550e-01  -8.896e-03  3.46067e-01  137.12  1.421e-05
   2500   3.676e-01  -8.896e-03  3.58738e-01  142.01  1.480e-05
   2600   3.689e-01  -8.896e-03  3.60045e-01  142.52  1.486e-05
   2700   3.644e-01  -8.896e-03  3.55498e-01  140.76  1.465e-05
   2800   3.971e-01  -8.896e-03  3.88176e-01  153.38  1.619e-05
   2900   3.961e-01  -8.896e-03  3.87165e-01  152.99  1.614e-05
   3000   3.832e-01  -8.896e-03  3.74340e-01  148.04  1.554e-05
   3100   3.817e-01  -8.896e-03  3.72763e-01  147.43  1.546e-05
   3200   3.929e-01  -8.896e-03  3.83969e-01  151.76  1.599e-05
   3300   4.046e-01  -8.896e-03  3.95722e-01  156.30  1.654e-05
   3400   3.866e-01  -8.896e-03  3.77739e-01  149.35  1.570e-05
   3500   3.725e-01  -8.896e-03  3.63563e-01  143.88  1.503e-05
   3600   4.126e-01  -8.896e-03  4.03739e-01  159.40  1.692e-05
   3700   4.129e-01  -8.896e-03  4.04020e-01  159.50  1.694e-05
   3800   3.851e-01  -8.896e-03  3.76185e-01  148.75  1.562e-05
   3900   4.140e-01  -8.896e-03  4.05084e-01  159.92  1.699e-05
   4000   3.849e-01  -8.896e-03  3.76049e-01  148.70  1.562e-05
   4100   3.866e-01  -8.896e-03  3.77662e-01  149.32  1.569e-05
   4200   3.853e-01  -8.896e-03  3.76452e-01  148.86  1.564e-05
   4300   3.959e-01  -8.896e-03  3.87003e-01  152.93  1.613e-05
   4400   4.115e-01  -8.896e-03  4.02584e-01  158.95  1.687e-05
   4500   3.911e-01  -8.896e-03  3.82217e-01  151.08  1.591e-05
   4600   3.818e-01  -8.896e-03  3.72881e-01  147.48  1.547e-05
   4700   3.707e-01  -8.896e-03  3.61766e-01  143.18  1.495e-05
   4800   3.915e-01  -8.896e-03  3.82616e-01  151.24  1.593e-05
   4900   3.680e-01  -8.896e-03  3.59087e-01  142.15  1.482e-05
   5000   3.774e-01  -8.896e-03  3.68471e-01  145.77  1.526e-05
