=======Command line arguments=======
N_atoms: 125
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 2.419e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
      0   3.883e-01  -8.896e-03  3.79415e-01  150.00  1.578e-05
    100   2.934e-01  -8.896e-03  2.84532e-01  113.35  1.131e-05
    200   3.392e-01  -8.896e-03  3.30322e-01  131.04  1.346e-05
    300   3.639e-01  -8.896e-03  3.54956e-01  140.55  1.462e-05
    400   3.778e-01  -8.896e-03  3.68875e-01  145.93  1.528e-05
    500   3.858e-01  -8.896e-03  3.76894e-01  149.03  1.566e-05
    600   3.906e-01  -8.896e-03  3.81711e-01  150.89  1.589e-05
    700   3.935e-01  -8.896e-03  3.84580e-01  152.00  1.602e-05
    800   3.822e-01  -8.896e-03  3.73304e-01  147.64  1.549e-05
    900   4.051e-01  -8.896e-03  3.96240e-01  156.50  1.657e-05
   1000   4.085e-01  -8.896e-03  3.99589e-01  157.79  1.673e-05
   1100   3.877e-01  -8.896e-03  3.78812e-01  149.77  1.575e-05
   1200   3.885e-01  -8.896e-03  3.79631e-01  150.08  1.579e-05
   1300   4.036e-01  -8.896e-03  3.94738e-01  155.92  1.650e-05
   1400   4.059e-01  -8.896e-03  3.96976e-01  156.78  1.660e-05
   1500   3.947e-01  -8.896e-03  3.85759e-01  152.45  1.608e-05
   1600   3.720e-01  -8.896e-03  3.63097e-01  143.70  1.501e-05
   1700   3.931e-01  -8.896e-03  3.84179e-01  151.84  1.600e-05
   1800   3.935e-01  -8.896e-03  3.84589e-01  152.00  1.602e-05
   1900   4.027e-01  -8.896e-03  3.93768e-01  155.54  1.645e-05
   2000   3.989e-01  -8.896e-03  3.90034e-01  154.10  1.628e-05
   2100   3.814e-01  -8.896e-03  3.72539e-01  147.34  1.545e-05
   2200   3.772e-01  -8.896e-03  3.68275e-01  145.70  1.525e-05
   2300   3.712e-01  -8.896e-03  3.62300e-01  143.39  1.497e-05
   2400   3.726e-01  -8.896e-03  3.63750e-01  143.95  1.504e-05
   2500   3.864e-01  -8.896e-03  3.77514e-01  149.27  1.569e-05
   2600   3.656e-01  -8.896e-03  3.56674e-01  141.22  1.471e-05
   2700   3.812e-01  -8.896e-03  3.72278e-01  147.24  1.544e-05
   2800   3.570e-01  -8.896e-03  3.48064e-01  137.89  1.430e-05
   2900   3.733e-01  -8.896e-03  3.64446e-01  144.22  1.507e-05
   3000   3.812e-01  -8.896e-03  3.72311e-01  147.26  1.544e-05
